filetype,threshold,precision,TP,FN,FP,TN
01. CSV,0.0,50.0,800,0,800,0
01. CSV,0.1,52.29,800,0,730,70
01. CSV,0.2,54.26,790,10,666,134
01. CSV,0.30000000000000004,0.0,0,800,551,249
01. CSV,0.4,0.0,0,800,448,352
01. CSV,0.5,0.0,0,800,276,524
01. CSV,0.6000000000000001,0.0,0,800,193,607
01. CSV,0.7000000000000001,0.0,0,800,145,655
01. CSV,0.8,0.0,0,800,100,700
01. CSV,0.9,0.0,0,800,91,709
01. CSV,1.0,0.0,0,800,81,719
02. TXT,0.0,50.0,800,0,800,0
02. TXT,0.1,50.89,800,0,772,28
02. TXT,0.2,1.61,12,788,734,66
02. TXT,0.30000000000000004,0.29,2,798,679,121
02. TXT,0.4,0.0,0,800,584,216
02. TXT,0.5,0.0,0,800,452,348
02. TXT,0.6000000000000001,0.0,0,800,322,478
02. TXT,0.7000000000000001,0.0,0,800,225,575
02. TXT,0.8,0.0,0,800,176,624
02. TXT,0.9,0.0,0,800,133,667
02. TXT,1.0,0.0,0,800,109,691
03. DLL,0.0,50.0,800,0,800,0
03. DLL,0.1,0.0,0,800,671,129
03. DLL,0.2,0.0,0,800,558,242
03. DLL,0.30000000000000004,0.0,0,800,454,346
03. DLL,0.4,0.0,0,800,375,425
03. DLL,0.5,0.0,0,800,316,484
03. DLL,0.6000000000000001,0.0,0,800,263,537
03. DLL,0.7000000000000001,0.0,0,800,172,628
03. DLL,0.8,0.0,0,800,105,695
03. DLL,0.9,0.0,0,800,89,711
03. DLL,1.0,0.0,0,800,81,719
04. SYS,0.0,50.0,450,0,450,0
04. SYS,0.1,6.72,31,419,430,20
04. SYS,0.2,3.78,16,434,407,43
04. SYS,0.30000000000000004,1.26,5,445,392,58
04. SYS,0.4,0.28,1,449,362,88
04. SYS,0.5,0.29,1,449,339,111
04. SYS,0.6000000000000001,0.0,0,450,323,127
04. SYS,0.7000000000000001,0.0,0,450,303,147
04. SYS,0.8,0.0,0,450,274,176
04. SYS,0.9,0.0,0,450,259,191
04. SYS,1.0,0.0,0,450,246,204
05. DOC,0.0,50.0,450,0,450,0
05. DOC,0.1,51.84,450,0,418,32
05. DOC,0.2,0.0,0,450,385,65
05. DOC,0.30000000000000004,0.0,0,450,358,92
05. DOC,0.4,0.0,0,450,332,118
05. DOC,0.5,0.0,0,450,311,139
05. DOC,0.6000000000000001,0.0,0,450,283,167
05. DOC,0.7000000000000001,0.0,0,450,253,197
05. DOC,0.8,0.0,0,450,234,216
05. DOC,0.9,0.0,0,450,217,233
05. DOC,1.0,0.0,0,450,193,257
06. DOCX,0.0,50.0,150,0,150,0
06. DOCX,0.1,54.74,150,0,124,26
06. DOCX,0.2,63.03,150,0,88,62
06. DOCX,0.30000000000000004,73.89,150,0,53,97
06. DOCX,0.4,85.23,150,0,26,124
06. DOCX,0.5,20.0,1,149,4,146
06. DOCX,0.6000000000000001,33.33,1,149,2,148
06. DOCX,0.7000000000000001,50.0,1,149,1,149
06. DOCX,0.8,50.0,1,149,1,149
06. DOCX,0.9,0.0,0,150,1,149
06. DOCX,1.0,0.0,0,150,1,149
07. PDF,0.0,50.0,450,0,450,0
07. PDF,0.1,53.7,450,0,388,62
07. PDF,0.2,58.06,450,0,325,125
07. PDF,0.30000000000000004,65.55,449,1,236,214
07. PDF,0.4,80.58,448,2,108,342
07. PDF,0.5,0.0,0,450,56,394
07. PDF,0.6000000000000001,0.0,0,450,51,399
07. PDF,0.7000000000000001,0.0,0,450,43,407
07. PDF,0.8,0.0,0,450,38,412
07. PDF,0.9,0.0,0,450,33,417
07. PDF,1.0,0.0,0,450,29,421
08. PPT,0.0,50.0,450,0,450,0
08. PPT,0.1,2.0,9,441,440,10
08. PPT,0.2,0.0,0,450,417,33
08. PPT,0.30000000000000004,0.0,0,450,400,50
08. PPT,0.4,0.0,0,450,379,71
08. PPT,0.5,0.0,0,450,358,92
08. PPT,0.6000000000000001,0.0,0,450,339,111
08. PPT,0.7000000000000001,0.0,0,450,319,131
08. PPT,0.8,0.0,0,450,291,159
08. PPT,0.9,0.0,0,450,263,187
08. PPT,1.0,0.0,0,450,230,220
10. XLS,0.0,50.0,100,0,100,0
10. XLS,0.1,47.95,82,18,89,11
10. XLS,0.2,0.0,0,100,85,15
10. XLS,0.30000000000000004,0.0,0,100,72,28
10. XLS,0.4,0.0,0,100,65,35
10. XLS,0.5,0.0,0,100,54,46
10. XLS,0.6000000000000001,0.0,0,100,46,54
10. XLS,0.7000000000000001,0.0,0,100,43,57
10. XLS,0.8,0.0,0,100,36,64
10. XLS,0.9,0.0,0,100,27,73
10. XLS,1.0,0.0,0,100,22,78
11. XLSX,0.0,50.0,30,0,30,0
11. XLSX,0.1,50.85,30,0,29,1
11. XLSX,0.2,55.56,30,0,24,6
11. XLSX,0.30000000000000004,61.22,30,0,19,11
11. XLSX,0.4,63.83,30,0,17,13
11. XLSX,0.5,76.92,30,0,9,21
11. XLSX,0.6000000000000001,90.91,30,0,3,27
11. XLSX,0.7000000000000001,0.0,0,30,2,28
11. XLSX,0.8,0.0,0,30,2,28
11. XLSX,0.9,0.0,0,30,2,28
11. XLSX,1.0,0.0,0,30,2,28
12. HTML,0.0,50.0,800,0,800,0
12. HTML,0.1,0.0,0,800,535,265
12. HTML,0.2,0.0,0,800,339,461
12. HTML,0.30000000000000004,0.0,0,800,206,594
12. HTML,0.4,0.0,0,800,119,681
12. HTML,0.5,0.0,0,800,62,738
12. HTML,0.6000000000000001,0.0,0,800,32,768
12. HTML,0.7000000000000001,0.0,0,800,26,774
12. HTML,0.8,0.0,0,800,23,777
12. HTML,0.9,0.0,0,800,18,782
12. HTML,1.0,0.0,0,800,14,786
13. C,0.0,50.0,150,0,150,0
13. C,0.1,60.98,150,0,96,54
13. C,0.2,3.45,1,149,28,122
13. C,0.30000000000000004,0.0,0,150,16,134
13. C,0.4,0.0,0,150,11,139
13. C,0.5,0.0,0,150,9,141
13. C,0.6000000000000001,0.0,0,150,9,141
13. C,0.7000000000000001,0.0,0,150,9,141
13. C,0.8,0.0,0,150,6,144
13. C,0.9,0.0,0,150,4,146
13. C,1.0,0.0,0,150,4,146
14. CPP,0.0,50.0,150,0,150,0
14. CPP,0.1,57.03,150,0,113,37
14. CPP,0.2,65.79,150,0,78,72
14. CPP,0.30000000000000004,74.63,150,0,51,99
14. CPP,0.4,2.86,1,149,34,116
14. CPP,0.5,4.76,1,149,20,130
14. CPP,0.6000000000000001,10.0,1,149,9,141
14. CPP,0.7000000000000001,12.5,1,149,7,143
14. CPP,0.8,14.29,1,149,6,144
14. CPP,0.9,14.29,1,149,6,144
14. CPP,1.0,16.67,1,149,5,145
15. JPG,0.0,50.0,450,0,450,0
15. JPG,0.1,59.95,446,4,298,152
15. JPG,0.2,0.0,0,450,54,396
15. JPG,0.30000000000000004,0.0,0,450,41,409
15. JPG,0.4,0.0,0,450,33,417
15. JPG,0.5,0.0,0,450,27,423
15. JPG,0.6000000000000001,0.0,0,450,21,429
15. JPG,0.7000000000000001,0.0,0,450,18,432
15. JPG,0.8,0.0,0,450,15,435
15. JPG,0.9,0.0,0,450,9,441
15. JPG,1.0,0.0,0,450,5,445
16. ZIP,0.0,50.0,6,0,6,0
16. ZIP,0.1,0.0,0,6,0,6
16. ZIP,0.2,0.0,0,6,0,6
16. ZIP,0.30000000000000004,0.0,0,6,0,6
16. ZIP,0.4,0.0,0,6,0,6
16. ZIP,0.5,0.0,0,6,0,6
16. ZIP,0.6000000000000001,0.0,0,6,0,6
16. ZIP,0.7000000000000001,0.0,0,6,0,6
16. ZIP,0.8,0.0,0,6,0,6
16. ZIP,0.9,0.0,0,6,0,6
16. ZIP,1.0,0.0,0,6,0,6
17. PPTX,0.0,50.0,150,0,150,0
17. PPTX,0.1,64.38,150,0,83,67
17. PPTX,0.2,0.0,0,150,12,138
17. PPTX,0.30000000000000004,0.0,0,150,7,143
17. PPTX,0.4,0.0,0,150,5,145
17. PPTX,0.5,0.0,0,150,5,145
17. PPTX,0.6000000000000001,0.0,0,150,4,146
17. PPTX,0.7000000000000001,0.0,0,150,3,147
17. PPTX,0.8,0.0,0,150,3,147
17. PPTX,0.9,0.0,0,150,2,148
17. PPTX,1.0,0.0,0,150,1,149
